sample-id	year	month	day	year-month-day	sample_type	location	sampling_site	site_type	replicate_ID	sampling_site-year	sampling_site-year-month-day	sampling_site-sample_type	sampling_site-year-sample_type
N8	2018	7	2	2018-7-2	dry	Kreiser	KP2	inlet	B	KP2_2018	KP2_2018-07-02	KP2-dry	KP2_2018-dry
O1	2018	7	2	2018-7-2	dry	Kreiser	KP2	inlet	C	KP2_2018	KP2_2018-07-02	KP2-dry	KP2_2018-dry
O2	2018	7	2	2018-7-2	dry	Kreiser	KP3	outlet	A	KP3_2018	KP3_2018-07-02	KP3-dry	KP3_2018-dry
O3	2018	7	2	2018-7-2	dry	Kreiser	KP3	outlet	B	KP3_2018	KP3_2018-07-02	KP3-dry	KP3_2018-dry
O4	2018	7	2	2018-7-2	dry	Kreiser	KP3	outlet	C	KP3_2018	KP3_2018-07-02	KP3-dry	KP3_2018-dry
O5	2018	7	21	2018-7-21	wet	Kreiser	KP1	inlet	A	KP1_2018	KP1_2018-07-21	KP1-wet	KP1_2018-wet
O6	2018	7	21	2018-7-21	wet	Kreiser	KP1	inlet	B	KP1_2018	KP1_2018-07-21	KP1-wet	KP1_2018-wet
O7	2018	7	21	2018-7-21	wet	Kreiser	KP1	inlet	C	KP1_2018	KP1_2018-07-21	KP1-wet	KP1_2018-wet
O8	2018	7	21	2018-7-21	wet	Kreiser	KP2	inlet	A	KP2_2018	KP2_2018-07-21	KP2-wet	KP2_2018-wet
P1	2018	7	21	2018-7-21	wet	Kreiser	KP2	inlet	B	KP2_2018	KP2_2018-07-21	KP2-wet	KP2_2018-wet
P2	2018	7	21	2018-7-21	wet	Kreiser	KP2	inlet	C	KP2_2018	KP2_2018-07-21	KP2-wet	KP2_2018-wet
P3	2018	7	21	2018-7-21	wet	Kreiser	KP3	outlet	A	KP3_2018	KP3_2018-07-21	KP3-wet	KP3_2018-wet
P4	2018	7	21	2018-7-21	wet	Kreiser	KP3	outlet	B	KP3_2018	KP3_2018-07-21	KP3-wet	KP3_2018-wet
P5	2018	7	21	2018-7-21	wet	Kreiser	KP3	outlet	C	KP3_2018	KP3_2018-07-21	KP3-wet	KP3_2018-wet
P6	2018	8	6	2018-8-6	wet	Kreiser	KP1	inlet	A	KP1_2018	KP1_2018-08-06	KP1-wet	KP1_2018-wet
P7	2018	8	6	2018-8-6	wet	Kreiser	KP1	inlet	B	KP1_2018	KP1_2018-08-06	KP1-wet	KP1_2018-wet
P8	2018	8	6	2018-8-6	wet	Kreiser	KP1	inlet	C	KP1_2018	KP1_2018-08-06	KP1-wet	KP1_2018-wet
Q1	2018	8	6	2018-8-6	wet	Kreiser	KP2	inlet	A	KP2_2018	KP2_2018-08-06	KP2-wet	KP2_2018-wet
Q2	2018	8	6	2018-8-6	wet	Kreiser	KP2	inlet	B	KP2_2018	KP2_2018-08-06	KP2-wet	KP2_2018-wet
Q3	2018	8	6	2018-8-6	wet	Kreiser	KP2	inlet	C	KP2_2018	KP2_2018-08-06	KP2-wet	KP2_2018-wet
Q4	2018	8	6	2018-8-6	wet	Kreiser	KP3	outlet	A	KP3_2018	KP3_2018-08-06	KP3-wet	KP3_2018-wet
Q5	2018	8	6	2018-8-6	wet	Kreiser	KP3	outlet	B	KP3_2018	KP3_2018-08-06	KP3-wet	KP3_2018-wet
Q6	2018	8	6	2018-8-6	wet	Kreiser	KP3	outlet	C	KP3_2018	KP3_2018-08-06	KP3-wet	KP3_2018-wet
